anchor,domain_i,domain_j,step_each,nonadditivity_loss,bootstrap_sd,bootstrap_low,bootstrap_high,wald_p,bh_q,exploratory_fdr_0_05
training_mean,arxiv,freelaw,0.005,4.897597778224648e-05,2.63525747067746e-05,-3.905467744010795e-06,9.67076388530576e-05,0.06309956329189288,0.18258597037654112,False
training_mean,arxiv,nih_exporter,0.005,3.40626355152051e-05,2.538211577898039e-05,-2.333639754300612e-05,7.601774357951221e-05,0.17959808886981266,0.353386564685491,False
training_mean,arxiv,pubmed_central,0.005,3.689552263872269e-05,2.8755613916915593e-05,-2.506004132627476e-05,8.708572589536085e-05,0.1994668575032038,0.37677073083938495,False
training_mean,arxiv,wikipedia_en,0.005,1.618168028682342e-05,2.5306298214676844e-05,-3.5996465198132984e-05,6.264928556748616e-05,0.5225413356798796,0.6568057770972017,False
training_mean,arxiv,dm_mathematics,0.005,-9.991374988036209e-05,2.2235042668851765e-05,-0.0001489876887859709,-6.019783533667675e-05,7.0053352317568715e-06,0.0001481689385735676,True
training_mean,arxiv,github,0.005,3.428207709401262e-05,2.7129830975657832e-05,-2.270962332501878e-05,8.138976689121986e-05,0.2063627443965278,0.38445661969764083,False
training_mean,arxiv,philpapers,0.005,4.4160568859609975e-05,3.0468369332177045e-05,-2.2733835648923594e-05,9.781662271069875e-05,0.14722852539561834,0.32295289441619507,False
training_mean,arxiv,stackexchange,0.005,-6.612928448152104e-05,2.4833627481229395e-05,-0.00011663347557564655,-1.9689893412804035e-05,0.007747212147842127,0.036331753520914806,True
training_mean,arxiv,enron_emails,0.005,1.9649537762507316e-05,4.538994750742913e-05,-7.324701666706919e-05,0.00010425251156451824,0.6650837468253399,0.7730887997286002,False
training_mean,arxiv,gutenberg_pg_19,0.005,1.901284647156364e-05,2.4354242362924256e-05,-3.404808387286872e-05,5.7748154935638636e-05,0.4349912930986344,0.6227243774885713,False
training_mean,arxiv,pile_cc,0.005,3.67627001296369e-05,2.747398540300206e-05,-1.6969075936114408e-05,8.600095606081814e-05,0.18086668493372704,0.353386564685491,False
training_mean,arxiv,ubuntu_irc,0.005,-7.765399031556077e-05,2.4390208917658152e-05,-0.00012330352428859486,-3.354785254412058e-05,0.0014534628163705929,0.008985042864836392,True
training_mean,arxiv,europarl,0.005,3.775715225802384e-05,2.2757882786883747e-05,-1.0419547097755503e-05,7.524664882806402e-05,0.09709963666732664,0.24916133182559289,False
training_mean,arxiv,hackernews,0.005,2.167555889326991e-05,2.825395905579547e-05,-3.835589218467091e-05,6.878354015420042e-05,0.44298109678132414,0.6275565537735425,False
training_mean,arxiv,pubmed_abstracts,0.005,-4.92281452493208e-06,2.4923220821819684e-05,-5.4348852124773014e-05,4.302930567624983e-05,0.843421261519642,0.8961350903646197,False
training_mean,arxiv,uspto_backgrounds,0.005,3.271817539027952e-05,2.3688171154149807e-05,-1.7283511266615504e-05,7.53053038423326e-05,0.16721652242439644,0.34456737954118055,False
training_mean,freelaw,nih_exporter,0.005,6.684633196013132e-05,2.805701474348158e-05,1.134550614384127e-05,0.00012444658795127144,0.017194709142177522,0.06681372695246122,False
training_mean,freelaw,pubmed_central,0.005,5.4657714353908284e-05,2.5731916114486058e-05,8.391546822570448e-06,0.00011140056245323763,0.033659991299536646,0.1173784311983842,False
training_mean,freelaw,wikipedia_en,0.005,3.849217565501503e-05,2.5682993864548984e-05,-7.372302526022316e-06,8.980806912189348e-05,0.13394063634859896,0.30287845971161237,False
training_mean,freelaw,dm_mathematics,0.005,-8.864812313252567e-05,2.147377525632668e-05,-0.00012806678073795424,-4.373017867936753e-05,3.656078208108904e-05,0.00045202421482073724,True
training_mean,freelaw,github,0.005,5.504875034759296e-05,2.7264166160651314e-05,9.184732437086427e-06,0.00012091617032251375,0.04347807531516064,0.13751205215957785,False
training_mean,freelaw,philpapers,0.005,3.283897559804395e-05,5.4983673211879186e-05,-5.926857884503392e-05,0.00014027553127388606,0.5503407633458928,0.6682709269200127,False
training_mean,freelaw,stackexchange,0.005,-4.35461663307323e-05,2.761591958942355e-05,-8.98944266157465e-05,1.7231416474364718e-05,0.11483001426937138,0.2815278369498477,False
training_mean,freelaw,enron_emails,0.005,6.455197237130676e-05,5.3165787907237735e-05,-3.355566365794587e-05,0.00017671028203292128,0.22468520038240336,0.4020682533158797,False
training_mean,freelaw,gutenberg_pg_19,0.005,3.930530809378395e-05,2.2709106365703235e-05,-1.0902775918730444e-06,8.65235890874085e-05,0.08348440302210208,0.21834382328857466,False
training_mean,freelaw,pile_cc,0.005,5.859769627747043e-05,2.778075422080018e-05,8.279587395141906e-06,0.00011612215363310324,0.03491946674233071,0.1187261869239244,False
training_mean,freelaw,ubuntu_irc,0.005,-7.006317378784025e-05,2.607264602891658e-05,-0.00011931050254035256,-2.0378456481975592e-05,0.007204751217762261,0.03499450591484527,True
training_mean,freelaw,europarl,0.005,5.0138118690927536e-05,2.6736183321297185e-05,-1.7806629143999417e-06,0.0001041862237559575,0.060752727919200694,0.17961676080459335,False
training_mean,freelaw,hackernews,0.005,3.3152713483627184e-05,2.3911868299122522e-05,-8.358869855468508e-06,8.460148765834514e-05,0.16560821468039588,0.34456737954118055,False
