metric,direction,low,high,status,target_center,target_spread,group,within_group_weight,global_weight
dsir_books,benefit,-56918.4092252888,-232.54878165960002,used,,,知识价值,0.09577229455617431,0.023943073639043577
dsir_wiki,benefit,-60860.8279476777,-228.26818290040012,used,,,知识价值,0.09458383301443408,0.02364595825360852
dsir_math,benefit,-45615.732442883906,-227.74308688770012,used,,,知识价值,0.09887484162977644,0.02471871040744411
fineweb_edu,benefit,0.03446993350982661,3.2404500007629395,used,,,知识价值,0.21352725134307407,0.05338181283576852
fluency_en,benefit,0.0326513784603444,0.9992145260642746,used,,,语言表达,0.30124832780511607,0.07531208195127902
qurater,benefit,0.02606514810135788,0.9840460151953123,used,,,知识价值,0.2818336967146299,0.07045842417865747
ad_en,benefit,0.030764043536685694,0.9997009699987189,used,,,洁净规范,0.11466770309269013,0.028666925773172532
modernbert_professionalism,benefit,0.20010027974845848,0.9999895916640276,used,,,语言表达,0.4268114804804807,0.10670287012012017
modernbert_readability,benefit,0.2005724940690666,0.9984123502313492,used,,,语言表达,0.2719401917144032,0.0679850479286008
modernbert_reasoning,benefit,0.0037453534215413993,0.9999932309980041,used,,,知识价值,0.21540808274191126,0.053852020685477814
modernbert_cleanliness,benefit,0.20006095602863075,0.9999996792254349,used,,,洁净规范,0.16862270678829114,0.042155676697072784
rps_doc_word_count,target,10.0,10201.969999999994,used,5.537334267018537,2.454518048031037,结构丰富,0.16216067159606265,0.04054016789901566
rps_doc_num_sentences,target,1.0,758.1299999999974,used,3.044522437723423,2.2890844552425738,结构丰富,0.13941458361414008,0.03485364590353502
rps_doc_unigram_entropy,benefit,2.1371304051999997,6.325648439699999,used,,,结构丰富,0.19402434723513157,0.04850608680878289
rps_doc_frac_unique_words,benefit,17.204759645793803,100.0,used,,,结构丰富,0.18962019149338444,0.04740504787334611
rps_doc_frac_no_alph_words,cost,16.636897675691845,99.90756177631864,used,,,洁净规范,0.09208074897891994,0.023020187244729984
rps_doc_frac_chars_top_2gram,cost,0.0,21.0,used,,,洁净规范,0.10384471873152527,0.02596117968288132
rps_doc_frac_chars_top_3gram,cost,0.0,20.635943207258112,used,,,洁净规范,0.10243728076544993,0.025609320191362483
rps_lines_uppercase_letter_fraction,cost,1.1270577141703508,52.7577506193827,used,,,洁净规范,0.1578579387849244,0.0394644846962311
rps_lines_ending_with_terminal_punctution_mark,benefit,0.4300563580039559,100.0,used,,,洁净规范,0.1558756431223069,0.038968910780576724
rps_lines_numerical_chars_fraction,cost,0.0,19.177330331870227,used,,,洁净规范,0.10461325973589236,0.02615331493397309
rps_doc_mean_word_length,target,3.954545454545455,16.64097402597402,used,5.322730202758136,2.423522107532317,结构丰富,0.31478020606128126,0.07869505151532032
