domain,stratum,id,quality_score,conflict_score,score_content_length,raw_source_domain,raw_text_chars,text_sha256,alphabetic_fraction,control_char_count,url_count,html_tag_count,replacement_char_count,content_length_matches,domain_matches
arxiv,low_q10,BkiUfpo5qhDCnXuZvcNm,0.7018466289278631,0.2494003239591852,67045,arxiv,67045,60b6f7ab5553802080cf59e328d7fdaceb22845e5448b97aa2f2896832d8a3f1,0.6525020508613618,0,0,0,0,True,True
arxiv,low_q10,BkiUdyU4eIOjRsQM8x6G,0.7018274675405832,0.2357278418642148,198782,arxiv,198782,6dd50a184e5ee617e7268116e818a9fb8c4e5138b703ba54a8b86f5b8a264b86,0.5941684860802285,0,0,0,0,True,True
arxiv,median_q50,BkiUbVQ5qhLACAkw_leP,0.7819042123798114,0.1844325831733289,41891,arxiv,41891,d935cfa08dede77e890be93350d04f039b79e8488a1859917097ff7ef4d44f95,0.7666085794084648,0,0,0,0,True,True
arxiv,median_q50,BkiUa9w5qsNCPcsBuBQh,0.781934518959009,0.2158868743313823,81805,arxiv,81805,1113935b85957964b924b72b82639d47571766ec6da36d38414d540ac4d6012e,0.7447711020108795,0,1,0,0,True,True
arxiv,high_q90,BkiUcqDxK0flNeFb4Rb-,0.8417600017831187,0.1863530808757473,32377,arxiv,32377,a6ad6a999c92e1d5cb1ed4de1df944a01529528b20f50022c3e2f7965b050eed,0.7467337925070265,0,2,0,0,True,True
arxiv,high_q90,BkiUe4bxK3YB9ohkOgZp,0.8417768130193284,0.1579374164932878,22261,arxiv,22261,2dbdbfe6cb3d7a1b7a73be0bdb36bea41dd5e71a1573ec4d86e2245e0ea105e2,0.7403530838686492,0,0,0,0,True,True
arxiv,highest_conflict,BkiUd1E5qsMAIzZBdsn6,0.6146089221984028,0.3623889047501166,233317,arxiv,233317,951409bac13d61556cfe4e38fc4b616a69268bcf3eb40e56fa71c973dedc3c6b,0.5238495266097198,0,0,0,0,True,True
book,low_q10,BkiUcO3xK1yAgWay39J1,0.4517747021136335,0.2804516703527159,560181,book,560181,ab8256d0d3a7cc06e317dea9a1cca7c38fe8d56dbb5f32089c91d0bf6d0bbaa8,0.7525174898827344,0,1,0,0,True,True
book,low_q10,BkiUaSjxK0zjCsHeYCVI,0.4482862799957791,0.2968030800950228,392592,book,392592,9a2917829b91a9d751cbdcd1a508c2cfe5e6b12d27ea6cfcf89df51529035d11,0.7460748053959326,0,1,0,0,True,True
book,median_q50,BkiUfko25V5jXr9apiGu,0.5693637447993978,0.1381285322771896,150520,book,150520,cf952bd80e31a99533fd8b4e8e527bce8fdc6b79143269dab57694455eb5b47b,0.7696385862343874,0,1,0,0,True,True
book,median_q50,BkiUbaM5qsNCPf8MwGzu,0.5695592066159135,0.1972806993686947,409773,book,409773,47f75a4d2b370215cc61850f85300abcb52314f49a2d91eba7b56dcac4ddbb69,0.806356202092378,0,56,0,0,True,True
book,high_q90,BkiUftPxK1yAga6JuYW_,0.6684193089815127,0.2401570275839981,532385,book,532385,1a2068839fd4f1aa7b28ad5acdb34f727b6300ae628de83a5d4bbb69bbd0d269,0.7960141626830207,0,0,0,0,True,True
book,high_q90,BkiUdvE5qdmDNotg_pE7,0.667620962031598,0.1604136346213609,507070,book,507070,2eee3dea8ca0805e7dd4aa9120341f565fd2716f7023712bfb42f98a1d8f632c,0.794994773897095,0,3,0,0,True,True
book,highest_conflict,BkiUbufxK3YB9raXyrr2,0.4087173014697184,0.3204205048378907,522145,book,522145,d2a664893a757e85c9bb36d446cadb88fb195b43539098173af5a030cbbc6a74,0.7562592766377155,0,6,0,0,True,True
c4,low_q10,BkiUdFLxaKgTyGYK9GTY,0.5764187913638594,0.3851331033151188,954,c4,954,b8ff9a8857eb3c3f711987bc94d82bf8bed0dab8a4f72a20521d8e6167882082,0.7253668763102725,0,0,0,0,True,True
c4,low_q10,BkiUdyI5qWTBHVEA14Wk,0.5764098475152473,0.4108569101474636,239,c4,239,39b44abd039fe40638ebf33b3a93985e6c7273d0551b773252413657c9a9244a,0.7615062761506276,0,0,0,0,True,True
c4,median_q50,BkiUbHM5qoaAwbGC7j4R,0.6849407336872277,0.1925326848371104,1497,c4,1497,69c96a746b729090e401fae573a214d53fa06ce03d998aa1a1f5c091f098b708,0.8249832999331997,0,0,0,0,True,True
c4,median_q50,BkiUdu7xaKgQJFc-i_gg,0.6849094649762599,0.1847006156066582,284,c4,284,b63cbcdea0eab77086cde7f0860421c70c9590fdaf864589ed928c6dab90ac18,0.8485915492957746,0,0,0,0,True,True
c4,high_q90,BkiUdF7xK0wg09FXVlnw,0.8007250755596347,0.152056716565385,1792,c4,1792,8423d23c8b12eb935136a19bbb14346b37431c44f6de15ea2a24014bb5d9bead,0.8180803571428571,0,0,0,0,True,True
c4,high_q90,BkiUdkw5qsBDEK-qJHHJ,0.8007114952983209,0.1529797232750097,1349,c4,1349,ad110c2d4b239af84e5ae4cb879c4f84cecd69e85c3a313603ba72bb33a55e1d,0.8146775389177169,0,0,0,0,True,True
c4,highest_conflict,BkiUdDk25V5ihkoTWuOy,0.5715516720511749,0.5295101252776577,783,c4,783,3486341f34ef772cc823a330988973e5459847face69265c45e0c4174ac2a5ca,0.80970625798212,0,0,0,0,True,True
commoncrawl,low_q10,BkiUduo5qsBDBWTXuGuO,0.5978414401108392,0.2072778792648213,62307,commoncrawl,62307,c65a87c9830d9a3e80d5219c6c1bbb3cfc1c5990057fcd0e7259862a177b99c8,0.7715344985314652,0,0,0,0,True,True
commoncrawl,low_q10,BkiUdU05qsBC3VG0zdr4,0.5978244599872893,0.444069381068998,3703,commoncrawl,3703,9b0e8f72dc116483f0fadb62abcf31c7e6c3d05d5e5f670e2c2bfb6f08322e3d,0.7653254118282473,0,0,0,0,True,True
commoncrawl,median_q50,BkiUbv3xaL3SuiVmg60A,0.7067467032900162,0.2244333447198749,1878,commoncrawl,1878,894e84b13f7e76353cbf1e8e83060958c85cfdbd44ffc678fdf34c4c8dd11c41,0.7912673056443025,0,0,0,0,True,True
commoncrawl,median_q50,BkiUd6Q5qdmDNmRzVn-F,0.7066696238658831,0.2032373470621723,1987,commoncrawl,1987,9f65d572c29fe970c80817999e10d5f2c537edac9ad911852747468fde455b0f,0.7931555108203322,0,1,0,0,True,True
commoncrawl,high_q90,BkiUd67xK7FjYHGH0qqN,0.8077559433648176,0.0922504366475488,2921,commoncrawl,2921,035fe6e40e0a67f214a65e8fb1ac112826875785cd8765b575805b160ffbe9f3,0.8113659705580281,0,0,0,0,True,True
commoncrawl,high_q90,BkiUccDxK0zjCrsN_EzF,0.8077475983466427,0.0421734446938486,4770,commoncrawl,4770,be13090a60928fb64e92a88bc900224e0ce945e6c60a2ff737fc0065d1c621c5,0.790775681341719,0,0,0,0,True,True
commoncrawl,highest_conflict,BkiUb8vxK6Ot9Pm3uMjc,0.58600060847625,0.4819241302774681,2149,commoncrawl,2149,c4ca278730492a6b4427a900c19c424e618646a525c8f1bfccf931ea62a43985,0.7854816193578409,0,0,0,0,True,True
github,low_q10,BkiUezHxK6nrxjHzDCGQ,0.4699263227558553,0.2614761680467212,320,github,320,5735b9bdb790b0ac8134efe2b5f3353c619c26512b8c2dadba00373a8a294a01,0.621875,0,0,12,0,True,True
github,low_q10,BkiUc4s25V5ioeHBl06k,0.4699267203523027,0.1708628014286924,149,github,149,8e3793fe1a10631774755b531aad8447bd338db372f6130432066bc39512ee3c,0.785234899328859,0,0,0,0,True,True
github,median_q50,BkiUdnE5qoTBFq8c9Ath,0.5768573119236922,0.0444261121662885,2594,github,2594,f6c268b25f7909f52e4ac2d270cd30cf46ec1b76fb5eabea1ef2b75588e352ee,0.600231303006939,0,2,10,0,True,True
github,median_q50,BkiUdvrxaL3SuhsxKgqM,0.5768581268544806,0.0907198323523704,602,github,602,008d4e2602a93b075e1594e61026cfd2365f6106048bc7447cbebf9a9c63eb56,0.5963455149501661,0,0,0,0,True,True
github,high_q90,BkiUdj05qU2Apwwg8Ar2,0.6799446253281163,0.1123246708991484,905,github,905,ca2f94817c372320450d307ae558c6bb334d94c0f2d83f1961b31e67cecb1b07,0.6464088397790055,0,2,11,0,True,True
github,high_q90,BkiUdMM4ubngw5GMe0rg,0.6799359692663127,0.1134959402341732,3620,github,3620,b96ae01bdf2e83ff4678e68c01ab2637f5b09c6eb90a1a946753a6610fb8a132,0.6160220994475138,0,0,0,0,True,True
github,highest_conflict,BkiUbTfxaKgS2MYsNgKd,0.5037366054853013,0.46075043618936,434,github,434,d16c61dd6751f73b27b09032d02c00f56d40694dc08655a8c22d675852960e36,0.6267281105990783,0,0,0,0,True,True
stackexchange,low_q10,BkiUcvrxK6nrxqmoy-SB,0.621102396391289,0.0886266855958843,922,stackexchange,922,0d787985ae21e8cc29ade9aa9b0d6c90f1f7b55732e4ee6362be65782d04e856,0.7234273318872018,0,0,0,0,True,True
stackexchange,low_q10,BkiUdHY5qYVBUpKVFXie,0.6211013131123145,0.1606819132367748,787,stackexchange,787,9a29330fb41a2dd07caba3528f41aff9a68e9a8a07c70cfe1b2f74de057c32d4,0.7306226175349428,0,1,0,0,True,True
stackexchange,median_q50,BkiUbAg5i7PA9L16ZZY6,0.7145543831134302,0.1513985995225772,9537,stackexchange,9537,6ad0dd29e587ffede9242ae90c168c80c73005f51e7b2d0bd34f69b3143fb32e,0.5156757890321905,0,2,48,0,True,True
stackexchange,median_q50,BkiUbY44dbjiVEKCIk5u,0.7145572154063622,0.1340289124530739,1238,stackexchange,1238,7e00bde0c80673b410af98335598af79cf0baf5d2bcce264b34084bbde6ce156,0.7681744749596123,0,0,0,0,True,True
stackexchange,high_q90,BkiUcrS6NNjgB0Ss1m6J,0.7915368737397133,0.0834540741196754,5590,stackexchange,5590,e60f864a2632e99633866aef033405b3dc6a4fd7c7458650b2b2cb5728c83d1b,0.5350626118067978,0,0,0,0,True,True
stackexchange,high_q90,BkiUdoc5qYVBaeuaz_DC,0.7915473414442199,0.0708420796500974,2102,stackexchange,2102,de9261f2ed347c1e9f20131832d008efdb46d469110e5ed8e3471c7b907b3915,0.6612749762131304,0,0,7,0,True,True
stackexchange,highest_conflict,BkiUeujxK1ThhCdy91Ge,0.5547422896191117,0.3851855540808751,518,stackexchange,518,344a9d9cc3fd285ebe1ab4d95a6bd52ec804b4076ad06b0e98462a8bb7266195,0.7857142857142857,0,0,0,0,True,True
wikipedia,low_q10,BkiUc4rxK7Tt6AlxDb_9,0.5086675498897438,0.2422838773427661,127,wikipedia,127,15405dc640494f874545a801b9afa48af4ab08c3cedee37d8af2b8a577b41e42,0.7952755905511811,0,0,0,0,True,True
wikipedia,low_q10,BkiUczTxK19JmhArDA34,0.50864220405128,0.1872058752202279,166,wikipedia,166,197fe45411ea293591511908ef4fb019ff35bfb6fe57bd09d0fddb963f02cb77,0.8253012048192772,0,0,0,0,True,True
wikipedia,median_q50,BkiUblfxK02iP1lCW-VU,0.6215084165212238,0.1191581041439437,160,wikipedia,160,776c6c1022a08c5090e0a3d3da529a3878f3afaaf95b72b6273405b113e08694,0.8125,0,0,0,0,True,True
