domain,q_loss_informed_proxy,partial_corr_to_train_loss,mapping
arxiv,0.7819042123798114,0.21570175534296102,observed_A16
freelaw,0.5693637447993978,0.2390997500957815,loss_inferred
nih_exporter,0.7127332662137806,-0.08291637917209417,loss_inferred
pubmed_central,0.5861115613713067,0.2014831980352718,loss_inferred
wikipedia_en,0.6215107447610511,0.13935923588890517,observed_A16
dm_mathematics,0.745077273718917,-0.15556286636871133,loss_inferred
github,0.5768577193890864,0.23611116132540041,observed_A16
philpapers,0.7488358261159704,-0.16400478960741335,loss_inferred
stackexchange,0.7145557992598962,0.12526364405142956,observed_A16
enron_emails,0.7134190815712236,-0.08445675961430754,loss_inferred
gutenberg_pg_19,0.5693637447993978,0.029412834748259613,observed_A16
pile_cc,0.7067081635779496,0.1857275072956512,observed_A16
ubuntu_irc,0.7819042123798114,-0.23827827284684888,loss_inferred
europarl,0.7043408068761169,-0.06406643642072349,loss_inferred
hackernews,0.7392453865720772,-0.14246411492680253,loss_inferred
pubmed_abstracts,0.6363703460041585,0.08859909875449434,loss_inferred
uspto_backgrounds,0.6133534770396321,0.1402963003542701,loss_inferred
