scale,domain,rmse_frozen,rmse_extrap,improvement,spearman_frozen,spearman_extrap
est_10b,arxiv,0.36256146332453826,0.3528533911726169,0.009708072151921376,0.8747119815668203,0.7734735023041476
est_10b,freelaw,0.452607936445273,0.4408354596584546,0.011772476786818364,0.7869143625192012,0.7696332565284177
est_10b,pubmed_central,0.42134698633683065,0.40225980888795915,0.019087177448871506,0.7696812596006145,0.6264400921658986
est_10b,wikipedia_en,0.44811963270572736,0.5149374266111167,-0.06681779390538939,0.352471017551065,0.29707414261011456
est_10b,dm_mathematics,0.349279790936122,0.523743750236353,-0.174463959300231,0.6984447004608295,0.08635752688172044
est_10b,github,1.1062156474326366,1.0811041961039174,0.02511145132871917,0.8032354070660522,0.7673291090629801
est_10b,stackexchange,0.40992857607877714,0.3780335611538269,0.03189501492495023,0.6860921430522744,0.6865241758868008
est_10b,gutenberg_pg_19,0.7056565690377102,0.7350601700399195,-0.02940360100220929,0.5423387096774194,0.5244335637480799
est_10b,pile_cc,0.8604656492149584,0.9166324851450751,-0.05616683593011673,0.3620871735791091,0.3559427803379417
est_10b,ubuntu_irc,0.33725175162602566,0.3840374299399389,-0.046785678313913226,0.7216781874039938,0.537586405529954
est_10b,hackernews,1.0380143830384212,1.0577335341581304,-0.019719151119709233,0.32982910906298,0.32243663594470046
est_10b,pubmed_abstracts,0.35043658580032205,0.37870102140809064,-0.02826443560776859,0.2319028417818741,0.11491935483870969
est_10b,uspto_backgrounds,0.28256761671621156,0.2805221151799815,0.0020455015362300655,0.630311903750071,0.6116624863930088
est_70b,arxiv,0.34550488796642087,0.3292561941494339,0.01624869381698696,0.8480222734254993,0.3993855606758833
est_70b,freelaw,0.4929509726715591,0.4709962321760901,0.021954740495468972,0.73622311827957,0.698636712749616
est_70b,pubmed_central,0.41380239375648287,0.3806591417154757,0.033143252041007154,0.6997887864823349,0.3004512288786482
est_70b,wikipedia_en,0.44866089033495615,0.57332255999346,-0.12466166965850389,0.32234062980030725,0.2434715821812596
est_70b,dm_mathematics,0.3086725013279485,0.6201424798786119,-0.31146997855066344,0.6849078341013826,-0.3842645929339477
est_70b,github,0.9984880616219155,0.9509171282139024,0.047570933408013105,0.7612327188940092,0.6987807219662059
est_70b,stackexchange,0.41578607629616005,0.35428241191784626,0.06150366437831378,0.5943331693636669,0.5976694229191774
est_70b,gutenberg_pg_19,0.6995449382324935,0.7581970974205586,-0.0586521591880651,0.4978398617511522,0.47662250384024574
est_70b,pile_cc,0.8567561570496915,0.9661592227780387,-0.10940306572834713,0.33194124423963134,0.3185003840245776
est_70b,ubuntu_irc,0.35205187449156344,0.4311555538147613,-0.07910367932319784,0.662186326208473,0.23920217938285698
est_70b,hackernews,1.0492030756788282,1.090026834052817,-0.04082375837398877,0.2739535330261137,0.26944124423963134
est_70b,pubmed_abstracts,0.34536177795301715,0.40043404194877985,-0.055072263995762705,0.15072964669738861,-0.06960445468509985
est_70b,uspto_backgrounds,0.2796644662824706,0.2732038881329254,0.006460578149545204,0.5738665004173248,0.508964789048031
