domain,top_5pct_centroid,top_10pct_centroid,top_20pct_centroid,bootstrap_ci_low,bootstrap_ci_high
arxiv,0.061270549642958666,0.05768260247993505,0.05645664101670736,0.03686617198299132,0.08282034723944376
freelaw,0.07638842034351015,0.07861169762119516,0.07107392990195249,0.05185893170913108,0.09758628003081125
nih_exporter,0.009995204797600006,0.010768646674008758,0.009692332622140731,0.005470902763633476,0.014592035067010421
pubmed_central,0.13081100678037572,0.1039199304425759,0.08623621114703071,0.07298514812609327,0.14411755974844273
wikipedia_en,0.13260807634460325,0.11145182341300443,0.09793275543742205,0.06776401203339784,0.14960630557614993
dm_mathematics,0.028171883632961473,0.030672204777030733,0.03307308817683908,0.01704215937579161,0.042694947662593845
github,0.038968337847425816,0.044035789860720445,0.07527896821586937,0.03092131600942284,0.06386908932729238
philpapers,0.007189276565831149,0.005787812341705481,0.00752598131474179,0.003556015595255049,0.010659634960865574
stackexchange,0.07083636466800906,0.08542976880316853,0.09218538302424613,0.057414274286719115,0.12345497074161342
enron_emails,0.0029219631911939605,0.002883866787712942,0.0031065455141397274,0.001788377800190849,0.004749211738909403
gutenberg_pg_19,0.08089942554221687,0.07708743666015438,0.07465240072717136,0.056341324947082896,0.0967755680386794
pile_cc,0.15623116869823453,0.15132765428752817,0.145051941511058,0.10683734699748884,0.20171985448684152
ubuntu_irc,0.04539701405799978,0.040240719637442836,0.04009009892507751,0.031120102098699268,0.054648387783205236
europarl,0.012803008302547686,0.015093782028608844,0.016085244478392137,0.008034899377903863,0.02305421246065739
hackernews,0.031100882040310876,0.02549670619514059,0.0209412221101675,0.017093558357044382,0.03522092052277571
pubmed_abstracts,0.050827630063466085,0.07961895190217658,0.0857420283322394,0.05229377911837481,0.11382010561696226
uspto_backgrounds,0.06357978748075478,0.07989060608789102,0.0848752275448046,0.05660837023370504,0.113497789958067
