split,target,n,mae,rmse,bias,centered_mae,centered_rmse,spearman
train_1m,arxiv,512,0.2412600119294818,0.3226614294072075,6.938893903907228e-18,0.2412600119294818,0.3226614294072075,0.9544095147972671
train_1m,freelaw,512,0.18851567009003242,0.2389861420376033,2.5847379792054426e-16,0.18851567009003242,0.2389861420376033,0.9600622918597865
train_1m,pubmed_central,512,0.2199978098670716,0.28609896329662254,-1.734723475976807e-16,0.2199978098670716,0.28609896329662254,0.9476420074157998
train_1m,wikipedia_en,512,0.14430461000707526,0.18172145382761645,1.457167719820518e-16,0.14430461000707526,0.18172145382761645,0.9457217172497454
train_1m,dm_mathematics,512,0.32368223946906727,0.42124937841924215,-1.0408340855860843e-17,0.32368223946906727,0.42124937841924215,0.9082765060482255
train_1m,github,512,0.2560159825263857,0.34304556140203873,2.636779683484747e-16,0.2560159825263857,0.34304556140203873,0.9511742219418409
train_1m,stackexchange,512,0.19796540861002232,0.26099709952060557,1.4051260155412137e-16,0.19796540861002232,0.26099709952060557,0.9426470893271991
train_1m,gutenberg_pg_19,512,0.13484568552019705,0.17592224188693467,2.480654570646834e-16,0.13484568552019705,0.17592224188693467,0.9243737554502695
train_1m,pile_cc,512,0.10298747663479454,0.1321376653023431,1.6132928326584306e-16,0.10298747663479454,0.1321376653023431,0.921293405459997
train_1m,ubuntu_irc,512,0.24097733679923952,0.323141771796151,4.354155924701786e-16,0.24097733679923952,0.323141771796151,0.9387934555280896
train_1m,hackernews,512,0.10743209615627611,0.13847988180524515,1.9255430583342559e-16,0.10743209615627611,0.13847988180524515,0.920069687632323
train_1m,pubmed_abstracts,512,0.18421787185654254,0.23320068134514751,-7.806255641895632e-17,0.18421787185654254,0.23320068134514751,0.9269111348576922
train_1m,uspto_backgrounds,512,0.14913458510962643,0.19250266889043252,1.9081958235744878e-17,0.14913458510962643,0.19250266889043252,0.932725470926174
train_1m,macro_average,512,0.15142551252442282,0.19924164981074768,1.214306433183765e-16,0.15142551252442282,0.19924164981074768,0.797726157574301
train_1m,pooled_domain,512,0.19164129112121636,0.26352594020679243,1.2383256813126746e-16,0.1916412911212163,0.26352594020679243,
test_1m,arxiv,256,0.305019038186083,0.3916453117373085,0.1072911637017027,0.29114049578188606,0.3766625232185278,0.8912615873197525
test_1m,freelaw,256,0.24267535970312826,0.30627810105912506,0.024431451048947582,0.24010117381001694,0.3053021116665041,0.9196183337148087
